pl_hostname,pl_rade,pl_eqt
WASP-136,15.468,1742
WASP-138,12.218,1590
CoRoT-22,4.880,885
Kepler-435,22.310,1729
WASP-151,12.666,1290
WASP-153,17.374,1700
WASP-167,17.710,2329
WASP-91,11.545,1160
WASP-105,10.761,900
WASP-107,10.536,770
WASP-156,5.717,970
EPIC 220674823,2.770,722
HD 106315,2.400,1146
HD 106315,4.400,874
HAT-P-67,23.371,1903
K2-111,1.900,1309
WASP-126,10.761,1480
WASP-84,10.559,797
EPIC 220674823,1.820,2063
